organization_name,repository_name,user,commit_sha,commit_date,commit_message
freeCodeCamp,freeCodeCamp,camperbot,c44b22f93846d9b999dc7f4eb1c4cc266bccdeb2,2025-01-29T15:42:39Z,"chore(i18n,learn): update i18n-curriculum submodule (#58475)"
freeCodeCamp,freeCodeCamp,camperbot,0d9d938ec020e7359d0bed891370330e282518ef,2025-01-29T14:07:48Z,"chore(i18n,client): processed translations (#58473)"
freeCodeCamp,freeCodeCamp,camperbot,cd7f12c06367d3c70761bdd21ff8ee7317db6346,2025-01-27T16:24:43Z,"chore(i18n,client): processed translations (#58402)"
freeCodeCamp,freeCodeCamp,camperbot,94612578d803d86ab828aa3a3fe689a083280398,2025-01-27T16:24:24Z,"chore(i18n,learn): update i18n-curriculum submodule (#58406)"
freeCodeCamp,freeCodeCamp,camperbot,64e3a1db75c1d052980f4374ad6d621777f3b2ac,2025-01-22T18:34:55Z,"chore(i18n,learn): update i18n-curriculum submodule (#58294)"
freeCodeCamp,freeCodeCamp,camperbot,aed75999754a28d8f76be1969297ef5e67ba34f2,2025-01-21T14:17:27Z,"chore(i18n,learn): update i18n-curriculum submodule (#58247)"
freeCodeCamp,freeCodeCamp,camperbot,ed531f675fd6791190b36a731b971a3d19841306,2025-01-15T18:41:02Z,"chore(i18n,client): processed translations (#58152)"
freeCodeCamp,freeCodeCamp,camperbot,8a741677b14940d100c54b38386a2a48de9f83f5,2025-01-15T18:19:55Z,"chore(i18n,learn): update i18n-curriculum submodule (#58157)"
freeCodeCamp,freeCodeCamp,camperbot,bbe67e1e3593a9c84310d877363722a951de6249,2025-01-14T19:26:50Z,"chore(i18n,learn): update i18n-curriculum submodule (#58125)"
freeCodeCamp,freeCodeCamp,camperbot,83ac048218174e6eebd3bb01e2694d822dea57de,2025-01-13T23:06:37Z,"chore(i18n,client): processed translations (#58078)"
freeCodeCamp,freeCodeCamp,camperbot,81b4a6977fab459f2b39cda6444b917eb9acd2c8,2025-01-13T22:11:47Z,"chore(i18n,learn): update i18n-curriculum submodule (#58079)"
freeCodeCamp,freeCodeCamp,camperbot,0979ab4ebaaa1db4ab4ff10fc9d4ab3729aa388e,2025-01-08T15:28:06Z,"chore(i18n,client): processed translations (#57994)"
