organization_name,repostiory_name,branch_name,is_protected,last_commit_link
freeCodeCamp,devdocs,debiman,False,https://api.github.com/repos/freeCodeCamp/devdocs/commits/f48c7132553d667d08cb425102ff9f01d396c775
freeCodeCamp,devdocs,i18n,False,https://api.github.com/repos/freeCodeCamp/devdocs/commits/510f9f19f44cf4393f0df81121387ee958eb3960
freeCodeCamp,devdocs,main,True,https://api.github.com/repos/freeCodeCamp/devdocs/commits/7340d31e08ecdccd122b9a9ef7df98ca96119707
freeCodeCamp,devdocs,man,False,https://api.github.com/repos/freeCodeCamp/devdocs/commits/99fc2d72910482065cc9c4de0de7ce9552fddc10
freeCodeCamp,devdocs,raven,False,https://api.github.com/repos/freeCodeCamp/devdocs/commits/91eb5259e4b4f48de11e165901384e6730a267e9
freeCodeCamp,devdocs,renovate/image_optim_pack-0.x-lockfile,False,https://api.github.com/repos/freeCodeCamp/devdocs/commits/ec7f97e3536e3cb7340f9bb6194603a83a1adb32
freeCodeCamp,devdocs,renovate/rss-0.x-lockfile,False,https://api.github.com/repos/freeCodeCamp/devdocs/commits/2449a70ff13ca5cf8295a37bc0cb00f9872617d7
freeCodeCamp,devdocs,sphinx-allow-dt-styles,False,https://api.github.com/repos/freeCodeCamp/devdocs/commits/9a564eac99ce852fe0c97f657b9a7b88e85969b7
freeCodeCamp,freeCodeCamp,main,True,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/commits/46b6024f9ab9d135f59ebc4d2ec78a26c082e15b
freeCodeCamp,freeCodeCamp,prod-current,True,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/commits/19d7843bdbded5e344b4e4661125f7fe4725378e
freeCodeCamp,freeCodeCamp,prod-staging,True,https://api.github.com/repos/freeCodeCamp/freeCodeCamp/commits/12026c33f4e1a503193aa7b7060bf6b990ba4315
freeCodeCamp,assets,feat/FCCFirepng,False,https://api.github.com/repos/freeCodeCamp/assets/commits/3b9cafc312802199ebba8b31fb1ed9b466a3efbb
freeCodeCamp,assets,master,False,https://api.github.com/repos/freeCodeCamp/assets/commits/f0d5eeeaed7a932fff817361939c4745bad3389f
freeCodeCamp,assets,rybar,False,https://api.github.com/repos/freeCodeCamp/assets/commits/0257f494319925f690282b6757dd1341045161a1
freeCodeCamp,ZiplineStatusChecker,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/ZiplineStatusChecker/commits/b0ef8df7664b2abc0774d24579cf1c169d8b00f8
freeCodeCamp,ZiplineStatusChecker,master,False,https://api.github.com/repos/freeCodeCamp/ZiplineStatusChecker/commits/3bcb21010ef0853f40dbfe69b00a01484d8420e9
freeCodeCamp,fcc-vagrant,master,False,https://api.github.com/repos/freeCodeCamp/fcc-vagrant/commits/7e46f69094288c2a21aed1cf703a3cb207e8de64
freeCodeCamp,fcc-vagrant,nvm-config,False,https://api.github.com/repos/freeCodeCamp/fcc-vagrant/commits/42ce3ca97fc18ef5fb51751bb2339032a16c633e
freeCodeCamp,JulyGameDev,camper-survival,False,https://api.github.com/repos/freeCodeCamp/JulyGameDev/commits/20a2f4244b0019ca0c03f8011ee8725f9184e1ec
freeCodeCamp,JulyGameDev,master,False,https://api.github.com/repos/freeCodeCamp/JulyGameDev/commits/4b6755447a35eed65cc1ae28a844759809ca9ecf
freeCodeCamp,1Aug2015GameDev,master,False,https://api.github.com/repos/freeCodeCamp/1Aug2015GameDev/commits/032ee09436910c710c8fea3ee10b5a99093fefb1
freeCodeCamp,massification,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/massification/commits/1d15090a879506a76caa476167d0d89e795117f2
freeCodeCamp,massification,master,False,https://api.github.com/repos/freeCodeCamp/massification/commits/2b2afe76191cb5e05ada9115c24ed7f1156da9b5
freeCodeCamp,wiki,master,True,https://api.github.com/repos/freeCodeCamp/wiki/commits/b4a52703f20fd96c97c9a2dcd5240efafb01c377
freeCodeCamp,fcc-expressworks,master,False,https://api.github.com/repos/freeCodeCamp/fcc-expressworks/commits/5ace19036fa1ebc40dc027784ce8d56078a4340f
freeCodeCamp,camper-gitter-bot,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/camper-gitter-bot/commits/aeb6bb40c8a082a94f9f167a7433fdc9d2e4ca8f
freeCodeCamp,camper-gitter-bot,master,False,https://api.github.com/repos/freeCodeCamp/camper-gitter-bot/commits/529cc6e989f2f9661e3dd65d927727c6489c8249
freeCodeCamp,COM1000,master,False,https://api.github.com/repos/freeCodeCamp/COM1000/commits/0f74fdf9dabaa03866e39e526aa2cbe2ed692974
freeCodeCamp,COM1000,production,False,https://api.github.com/repos/freeCodeCamp/COM1000/commits/5df9a5dbdb7f7e9aff6170615022244cb8ef6cf1
freeCodeCamp,COM1000,version-2000,False,https://api.github.com/repos/freeCodeCamp/COM1000/commits/79e3b2944657b63141c06ca9666da9db3c2d4926
freeCodeCamp,open-data,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/open-data/commits/52c9e35fc17e7360b8e31b4ee755da582657bc0a
freeCodeCamp,open-data,master,False,https://api.github.com/repos/freeCodeCamp/open-data/commits/0174360333951f598dac2ef2e4df0291928a32ca
freeCodeCamp,ProjectReferenceData,master,False,https://api.github.com/repos/freeCodeCamp/ProjectReferenceData/commits/e962a373bbafdd64877141ccb343a961d903bdd5
freeCodeCamp,wiki-generator,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/wiki-generator/commits/74a7d2832e4fa20696cd8f2e894534d287654e1d
freeCodeCamp,wiki-generator,master,False,https://api.github.com/repos/freeCodeCamp/wiki-generator/commits/eb6b73abd593c07dcc67a67843fd1abbdc319117
freeCodeCamp,pm2-pager,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/pm2-pager/commits/647df7731e93b0ddab0b1f26cb6ca95daf3da9bf
freeCodeCamp,pm2-pager,master,False,https://api.github.com/repos/freeCodeCamp/pm2-pager/commits/ece70635aa5b04b67cf18d9013b5a9fe06b8be9b
freeCodeCamp,open-api,archive,True,https://api.github.com/repos/freeCodeCamp/open-api/commits/ccad1d91daf38ddff73c1fcceca704de9dad91e8
freeCodeCamp,open-api,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/open-api/commits/2154b409d42d3bae31d9fd54e12712e699bc4fe3
freeCodeCamp,open-api,staging,True,https://api.github.com/repos/freeCodeCamp/open-api/commits/68b2ae532c8959df01ff8dd2e203f73c3e2276e8
freeCodeCamp,meeting-for-good,development,False,https://api.github.com/repos/freeCodeCamp/meeting-for-good/commits/34a12bdd48c7ca2e3d02612398e5c0b6aa6b8831
freeCodeCamp,meeting-for-good,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/meeting-for-good/commits/1a4fb5e8871e44470f4b2847f96219979a64bb92
freeCodeCamp,meeting-for-good,master,False,https://api.github.com/repos/freeCodeCamp/meeting-for-good/commits/05a2148bdc0d20b8edd0913ac2519e1a95aaad00
freeCodeCamp,scripts,feat/pw-deletion,False,https://api.github.com/repos/freeCodeCamp/scripts/commits/4837e42fbf85ebd8858bed2d5a0bd8e8c970af9f
freeCodeCamp,scripts,feat/unsubscribe-bouncing-emails,False,https://api.github.com/repos/freeCodeCamp/scripts/commits/3be4b4d7f3ae4e71be7a6777f0092469a113c2f5
freeCodeCamp,scripts,main,True,https://api.github.com/repos/freeCodeCamp/scripts/commits/0c63e783d992a27f653db72b91a1df736a821bcf
freeCodeCamp,actual-react-router-bootstrap,greenkeeper/initial,False,https://api.github.com/repos/freeCodeCamp/actual-react-router-bootstrap/commits/f114e48e2c91216f1d4c23d4eaed6589d61e993a
